SAW       34    34    34    34    34    35    36    36    37    37    38    38    39    18    16    15
BELL      09    09    09    09    09    09    09    09    0a    0b    0c    24    24    18    16    15
SINE      15    15    15    15    15    15    15    15    15    15    15    15    15    15    15    15
SQUARE    46    46    46    46    46    47    48    48    49    49    4a    4a    4b    19    15    15
PULSE     02    02    02    02    02    02    02    03    04    05    06    07    08    1a    17    15
NOISE1    00    00    00    00    00    00    00    00    00    00    00    00    00    00    00    00
NOISE2    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20    20
NOISE3    01    01    01    01    01    01    01    01    01    01    01    01    01    01    01    01
BASS      27    27    27    27    27    27    27    27    28    29    29    2a    2a    18    16    15
PIANO     21    21    21    21    21    22    23    42    43    44    45    45    18    18    16    15
EL_PNO    3f    3f    3f    3f    3f    3f    3f    3f    3f    40    40    41    41    18    16    15
VOICE1    25    25    25    25    25    3a    26    3b    3c    3d    3e    3e    17    17    17    15
VOICE2    25    25    25    25    25    25    3a    26    3b    3c    3d    3e    17    17    17    15
KICK      1f    1f    1f    1f    1f    1f    1f    1f    1f    1f    1f    1f    1f    1f    1f    1f
REED      1d    1d    1d    1d    1d    1d    1d    1e    4c    4d    4e    4f    50    51    17    15
ORGAN     0d    0d    0d    0d    0d    0d    0d    0d    0d    0d    0d    0e    0e    17    17    15
SYNTH1    0f    0f    0f    0f    0f    0f    0f    0f    0f    0f    10    11    11    17    17    15
SYNTH2    12    12    12    12    12    12    12    12    12    12    13    14    14    15    15    15
SYNTH3    1b    1b    1b    1b    1b    1b    1b    1b    1b    1b    1c    1c    1a    1a    17    15
FORMT1    2b    2b    2c    2d    2e    2f    30    31    32    33    33    33    33    18    16    15
FORMT2    2b    2b    2b    2c    2d    2e    2f    30    31    32    33    33    33    18    16    15
FORMT3    2b    2b    2b    2b    2c    2d    2e    2f    30    31    32    33    33    18    16    15
FORMT4    2b    2b    2b    2b    2b    2c    2d    2e    2f    30    31    32    33    18    16    15
FORMT5    2b    2b    2b    2b    2b    2b    2c    2d    2e    2f    30    31    32    18    16    15
PULSE2    07    07    07    07    07    07    07    07    07    07    07    07    08    1a    17    15
SQR_2     4b    4b    4b    4b    4b    4b    4b    4b    4b    4b    4b    4b    4b    19    15    15
4_OCTS    0e    0e    0e    0e    0e    0e    0e    0e    0e    0e    0e    0e    0e    17    17    15
PRIME     1c    1c    1c    1c    1c    1c    1c    1c    1c    1c    1c    1c    1a    1a    17    15
BASS_2    29    29    29    29    29    29    29    29    29    29    29    2a    2a    18    16    15
E_PNO2    41    41    41    41    41    41    41    41    41    41    41    41    41    18    16    15
OCTAVE    17    17    17    17    17    17    17    17    17    17    17    17    17    17    17    15
OCT+5     1a    1a    1a    1a    1a    1a    1a    1a    1a    1a    1a    1a    1a    1a    17    15
SAW_2     18    18    18    18    18    18    18    18    18    18    18    18    18    18    16    15
TRIANG    19    19    19    19    19    19    19    19    19    19    19    19    19    19    15    15
REED_2    30    30    30    30    30    30    30    30    30    30    31    32    33    18    16    15
REED_3    8c    8c    8c    8c    8c    8c    8c    8c    8c    8c    8c    8c    08    1a    17    15
GRIT_1    6e    6e    6e    6e    6e    6f    70    71    72    73    74    1a    1a    1a    17    15
GRIT_2    6d    6d    6d    6d    6d    6e    6f    70    71    72    73    74    74    1a    17    15
GRIT_3    6d    6d    6d    6d    6d    6d    6e    6f    70    71    72    73    74    1a    17    15
GLINT1    8d    8d    8d    8d    8d    8e    8f    90    91    92    93    94    95    96    15    15
GLINT2    8d    8d    8d    8d    8e    8f    90    91    92    93    94    95    96    15    15    15
GLINT3    8d    8d    8d    8e    8f    90    91    92    93    94    95    96    15    15    15    15
CLAV      89    89    89    89    89    89    89    8a    8b    8b    8c    8c    08    1a    17    15
BRASS     76    76    76    76    76    76    76    76    7b    7b    7b    7c    7c    18    16    15
STRING    80    80    80    80    80    80    80    80    80    7d    7e    7f    7f    1a    17    15
DIGIT1    85    85    85    85    85    85    85    85    85    86    86    07    08    1a    17    15
DIGIT2    87    87    87    87    87    87    87    87    87    87    88    88    88    19    15    15
BELL_2    78    78    78    78    78    78    78    78    78    78    77    77    77    15    15    15
ALIEN     81    81    81    81    81    81    81    82    82    83    84    84    84    1a    17    15
BREATH    67    67    67    67    67    67    67    67    67    67    67    15    15    15    15    15
VOICE3    65    65    65    65    65    65    65    65    65    66    66    17    17    17    17    15
STEAM     64    64    64    64    64    64    64    64    64    64    64    64    64    64    64    64
METAL     63    63    63    63    63    63    63    63    63    63    63    63    63    63    63    63
CHIME     68    68    68    68    68    68    68    68    68    69    69    69    69    69    69    69
BOWING    52    52    52    52    52    52    55    55    55    55    55    55    55    55    55    55
PICK_1    5b    5b    5b    5b    5b    5b    5c    5c    5c    5c    5c    5c    5c    5c    5c    5c
PICK_2    56    56    56    56    56    56    56    58    58    58    58    58    58    58    58    58
MALLET    5e    5e    5e    5e    5e    5e    5e    5e    5e    5e    5e    5e    5e    5e    5e    5e
SLAP      5d    5d    5d    5d    5d    5d    5d    5d    5d    5d    5d    5d    5d    5d    5d    5d
PLINK     57    57    57    57    57    57    57    57    57    57    57    57    57    57    57    57
PLUCK     54    54    54    54    54    54    54    54    54    54    54    54    54    54    54    54
PLUNK     53    53    53    53    53    53    53    53    53    53    53    53    53    53    53    53
CLICK     79    79    79    79    79    79    79    79    79    79    79    79    79    79    79    79
CHIFF     5a    5a    5a    5a    5a    5a    5a    5a    59    59    59    59    59    59    59    59
THUMP     7a    7a    7a    7a    7a    7a    7a    7a    7a    7a    7a    7a    7a    7a    7a    7a
LOGDRM    6b    6b    6b    6b    6b    6b    6b    6b    6b    6b    6b    6b    6b    6b    6b    6b
KICK_2    6a    6a    6a    6a    6a    6a    6a    6a    6a    6a    6a    6a    6a    6a    6a    6a
SNARE     61    61    61    61    61    61    61    61    61    61    61    61    61    61    61    61
TOMTOM    5f    5f    5f    5f    5f    5f    5f    5f    5f    5f    5f    5f    5f    5f    5f    5f
HI-HAT    75    75    75    75    75    75    75    75    75    75    75    75    75    75    75    75
DRUMS1    6a    6a    6a    6a    6a    75    61    6c    60    60    60    60    60    60    60    60
DRUMS2    6a    6a    6a    6a    6a    75    61    60    60    60    60    60    60    60    60    60
DRUMS3    6a    6a    6a    6a    6a    75    61    6c    6c    6c    6c    6c    6c    6c    6c    6c
DRUMS4    6a    6a    6a    6a    6a    75    60    60    60    60    60    60    60    60    60    60
DRUMS5    6a    6a    6a    6a    6a    75    62    62    62    62    62    62    62    62    62    62
